timestamp,x,y,z
0,-16.65,5.46,14.47
10,-16.11,4.31,14.18
20,-15.0,3.05,13.18
30,-13.59,1.3,11.06
40,-11.87,-0.3,8.73
50,-10.1,-1.36,6.54
60,-8.28,-2.6,4.99
70,-6.67,-3.39,3.72
80,-5.05,-4.23,2.47
90,-3.64,-4.76,1.25
100,-2.29,-5.05,0.2
110,-0.96,-5.16,-0.93
120,0.4,-5.14,-1.86
130,1.93,-5.02,-2.6
140,3.29,-5.02,-3.39
150,4.41,-4.88,-4.3
160,5.21,-4.51,-4.96
170,5.55,-4.05,-5.56
180,5.68,-3.47,-6.47
190,6.03,-2.74,-7.51
200,6.46,-2.11,-8.57
210,6.93,-1.6,-9.65
220,7.38,-1.41,-10.42
230,7.71,-1.39,-10.86
240,7.85,-1.43,-10.86
250,8.02,-1.4,-10.63
260,8.22,-1.32,-10.02
270,8.21,-1.46,-9.26
280,8.04,-1.66,-8.55
290,7.67,-2.04,-7.89
300,7.09,-2.62,-7.28
310,6.28,-3.31,-6.78
320,5.4,-3.89,-6.46
330,4.51,-4.12,-6.33
340,3.37,-4.04,-6.11
350,1.59,-4.11,-5.53
360,-0.64,-4.26,-4.82
370,-3.26,-4.59,-4.07
380,-6.45,-4.62,-3.18
390,-10.16,-3.85,-2.09
400,-14.52,-2.32,-0.22
410,-18.76,-0.39,1.47
420,-22.09,1.64,2.75
430,-24.3,3.3,3.46
440,-25.15,4.7,3.83
450,-24.69,5.4,3.86
460,-24.56,5.22,3.37
470,-25.66,5.39,2.97
480,-27.15,5.84,2.84
490,-28.5,6.11,2.43
500,-29.05,5.74,1.4
510,-28.97,5.25,0.65
520,-28.79,3.23,2.05
530,-27.93,2.48,3.24
540,-27.33,1.46,6.26
550,-26.44,1.23,9.53
560,-25.48,1.35,13.76
570,-23.43,1.8,18.29
580,-20.43,1.98,21.71
590,-17.09,1.77,22.91
600,-14.7,1.15,22.46
610,-13.49,0.71,22.0
620,-13.65,0.54,22.58
630,-14.32,0.69,24.04
640,-14.5,0.88,25.59
650,-13.78,0.42,26.29
660,-11.91,-0.23,26.51
670,-8.95,-1.31,25.77
680,-6.93,-1.02,23.91
690,-5.87,-1.16,21.71
700,-5.2,-1.86,18.08
710,-4.53,-2.32,15.25
720,-4.37,-2.37,12.98
730,-4.09,-2.64,10.81
740,-3.44,-3.2,8.32
750,-2.68,-3.82,5.79
760,-1.75,-3.93,3.51
770,-0.76,-3.96,1.58
780,0.35,-3.93,-0.34
790,1.68,-3.86,-2.07
800,3.16,-3.63,-3.43
810,4.61,-3.36,-4.34
820,5.91,-3.14,-4.82
830,7.05,-2.82,-5.16
840,7.95,-2.41,-5.38
850,8.67,-1.97,-5.69
860,9.13,-1.5,-6.16
870,9.42,-1.18,-6.59
880,9.35,-0.98,-6.68
890,8.93,-0.84,-6.37
900,8.38,-0.75,-5.85
910,7.75,-0.48,-5.14
920,7.11,-0.09,-4.24
930,6.47,0.18,-3.37
940,5.7,0.3,-2.59
950,4.81,0.28,-1.9
960,3.74,0.14,-1.52
970,2.74,-0.08,-1.75
980,1.9,-0.26,-2.39
990,1.01,-0.3,-2.94
1000,-0.12,-0.18,-3.36
