timestamp,x,y,z
0,-6.6,-0.74,17.9
10,-7.87,-0.88,15.54
20,-9.31,-0.81,12.35
30,-9.79,-0.37,8.98
40,-10.04,-0.15,6.66
50,-10.18,-0.05,4.69
60,-9.89,-0.1,3.04
70,-9.27,-0.11,1.59
80,-8.58,-0.79,1.25
90,-7.46,-0.25,-0.18
100,-6.5,-1.44,-0.82
110,-6.6,-3.29,-2.06
120,-6.17,-5.72,-4.82
130,-5.05,-7.66,-8.93
140,-2.54,-11.74,-9.57
150,2.11,-14.74,-7.62
160,8.91,-15.31,-3.67
170,17.98,-13.53,0.84
180,26.59,-11.18,1.57
190,34.23,-8.84,-0.99
200,38.41,-7.86,-4.73
210,38.19,-8.49,-6.71
220,35.13,-10.24,-5.0
230,31.56,-12.37,-0.24
240,27.88,-14.29,5.03
250,23.07,-16.01,10.54
260,19.55,-16.51,17.03
270,17.5,-15.66,23.55
280,15.37,-14.36,28.56
290,13.21,-12.58,33.63
300,10.55,-10.38,35.33
310,7.66,-8.32,33.96
320,4.96,-6.67,31.95
330,2.0,-5.73,30.12
340,-1.41,-5.08,29.06
350,-4.36,-4.36,28.63
360,-6.89,-3.45,26.92
370,-9.14,-2.89,24.5
380,-10.96,-2.75,21.15
390,-12.38,-2.53,17.22
400,-12.98,-2.01,13.49
410,-12.55,-1.28,10.22
420,-11.88,-0.85,8.26
430,-10.9,-0.83,6.1
440,-9.49,-0.94,4.0
450,-8.52,-1.1,2.12
460,-8.23,-1.51,0.13
470,-9.51,-2.83,-2.11
480,-10.55,-5.68,-5.65
490,-9.86,-9.78,-12.17
500,-6.79,-12.81,-19.83
510,-1.64,-16.29,-22.49
520,3.59,-19.02,-16.15
530,8.6,-18.58,-7.49
540,15.11,-15.1,-4.08
550,24.84,-11.89,-2.29
560,35.11,-10.38,-3.53
570,44.01,-9.92,-5.71
580,44.11,-12.13,-3.24
590,40.39,-15.65,3.65
600,36.3,-18.62,13.66
610,30.59,-19.63,23.41
620,23.44,-18.57,33.04
630,19.5,-15.27,39.52
640,17.18,-10.96,42.31
650,13.15,-7.4,40.07
660,9.76,-5.31,34.19
670,5.07,-3.95,26.42
680,1.9,-3.44,21.38
690,-0.29,-3.25,20.03
700,-2.39,-2.6,19.37
710,-4.6,-1.92,18.34
720,-7.09,-1.03,17.21
730,-8.88,-0.29,15.78
740,-10.36,0.28,13.14
750,-11.28,0.7,10.28
760,-11.66,0.49,7.46
770,-12.11,0.21,4.58
780,-12.41,-0.07,1.68
790,-12.41,-0.67,-0.44
800,-12.07,-1.99,-1.71
810,-11.26,-4.34,-4.15
820,-9.11,-8.25,-10.68
830,-4.96,-11.84,-19.26
840,0.96,-14.54,-22.9
850,6.11,-16.48,-19.46
860,11.8,-15.45,-13.62
870,20.69,-11.48,-10.68
880,35.56,-7.82,-8.32
890,41.68,-8.44,-7.67
900,42.24,-11.65,-5.91
910,37.41,-15.93,-0.22
920,31.92,-19.34,9.42
930,25.8,-21.35,19.64
940,19.22,-20.81,29.3
950,15.25,-17.93,37.64
960,14.2,-13.4,43.56
970,11.85,-8.85,45.7
980,8.58,-5.48,43.65
990,3.94,-2.94,36.76
