timestamp,x,y,z
0,7.54,0.32,-0.29
10,8.62,0.03,0.39
20,9.45,-0.31,1.24
30,9.86,-0.61,2.32
40,10.32,-0.99,3.4
50,11.03,-1.48,4.62
60,11.72,-1.63,6.15
70,11.99,-2.12,7.83
80,12.06,-2.62,9.77
90,12.01,-2.97,11.57
100,11.57,-3.22,13.17
110,10.45,-3.44,14.07
120,8.45,-4.19,13.78
130,7.02,-5.09,14.82
140,5.3,-5.49,16.59
150,3.6,-6.37,18.45
160,2.54,-7.4,20.31
170,1.73,-8.39,22.29
180,0.58,-9.03,24.23
190,-1.07,-9.64,25.25
200,-3.06,-10.04,24.8
210,-5.16,-10.27,23.08
220,-7.21,-10.44,20.85
230,-9.06,-10.36,18.89
240,-10.18,-10.28,17.4
250,-10.81,-10.29,16.24
260,-11.32,-10.01,15.1
270,-11.77,-9.46,13.81
280,-12.28,-9.18,12.54
290,-13.26,-8.21,10.75
300,-13.82,-7.2,9.54
310,-14.26,-5.95,8.09
320,-14.7,-4.67,6.44
330,-14.91,-3.51,4.67
340,-14.38,-2.69,3.24
350,-13.51,-2.13,2.24
360,-12.34,-1.56,1.57
370,-10.9,-1.12,1.14
380,-9.24,-0.73,0.79
390,-7.71,-0.35,0.4
400,-6.31,-0.21,0.01
410,-5.0,-0.06,-0.42
420,-3.92,0.01,-0.87
430,-2.97,0.05,-1.24
440,-1.91,0.1,-1.18
450,-0.59,0.42,-1.17
460,0.96,0.56,-0.96
470,2.61,0.45,-0.68
480,4.07,0.2,-0.35
490,5.26,0.09,-0.11
500,6.45,-0.01,0.24
510,7.58,-0.25,0.68
520,8.51,-0.73,1.23
530,9.17,-1.0,2.03
540,9.59,-1.46,3.01
550,10.13,-2.21,4.17
560,10.75,-2.77,5.65
570,11.26,-3.35,7.52
580,11.64,-3.83,9.74
590,11.79,-4.14,12.21
600,11.31,-4.37,14.6
610,10.39,-4.46,15.74
620,8.63,-5.14,14.87
630,6.61,-6.22,14.13
640,4.99,-6.45,15.61
650,3.39,-6.91,17.77
660,2.19,-7.71,19.79
670,1.29,-8.67,21.12
680,0.2,-9.48,21.84
690,-1.09,-10.09,22.18
700,-2.37,-10.66,22.22
710,-3.64,-11.02,21.83
720,-5.02,-11.16,21.25
730,-6.45,-11.2,20.37
740,-7.54,-11.2,19.37
750,-8.29,-11.1,18.24
760,-8.98,-11.1,16.93
770,-9.69,-10.86,15.33
780,-10.23,-10.35,13.66
790,-10.55,-9.47,11.9
800,-10.92,-8.41,10.39
810,-11.43,-7.31,9.26
820,-11.94,-6.15,8.54
830,-12.49,-4.98,7.71
840,-12.82,-4.04,6.72
850,-13.42,-3.07,5.4
860,-13.37,-2.26,4.29
870,-12.61,-1.49,3.24
880,-11.35,-0.92,2.28
890,-9.97,-0.59,1.53
900,-8.7,-0.41,0.98
910,-7.45,-0.34,0.38
920,-6.37,-0.1,-0.23
930,-5.2,-0.08,-0.94
940,-3.92,-0.05,-1.45
950,-2.42,0.11,-1.68
960,-0.68,0.24,-1.74
970,1.35,-0.14,-1.37
980,3.35,-0.75,-0.83
990,4.77,-1.09,-0.36
1000,5.84,-1.27,-0.11
