timestamp,x,y,z
0,-17.37,-15.79,-12.87
10,-21.35,-16.02,-8.91
20,-25.13,-17.17,-4.09
30,-28.15,-20.29,2.37
40,-31.36,-24.29,11.54
50,-35.35,-24.97,25.11
60,-38.44,-25.52,38.83
70,-35.01,-24.05,49.86
80,-26.39,-19.44,55.42
90,-18.82,-14.44,54.14
100,-14.22,-10.84,46.29
110,-10.69,-9.19,36.95
120,-7.5,-8.75,29.82
130,-4.78,-9.44,26.05
140,-1.68,-10.49,25.17
150,2.23,-11.98,25.92
160,8.63,-13.64,25.88
170,18.47,-14.22,24.24
180,27.08,-12.2,23.39
190,32.01,-9.63,23.09
200,33.65,-7.93,22.0
210,33.19,-7.41,19.53
220,30.61,-7.9,15.86
230,27.91,-8.4,12.67
240,24.98,-8.63,9.42
250,21.94,-8.71,7.03
260,18.79,-8.61,5.09
270,15.45,-8.84,3.5
280,12.59,-9.28,2.04
290,10.48,-9.71,0.49
300,9.27,-10.24,-0.8
310,8.43,-10.85,-2.26
320,7.49,-12.12,-3.47
330,5.59,-13.53,-4.96
340,3.15,-14.58,-6.1
350,-0.11,-15.41,-7.75
360,-3.68,-15.85,-9.05
370,-7.11,-15.76,-9.45
380,-10.19,-16.14,-7.99
390,-13.55,-17.81,-4.71
400,-17.33,-20.05,0.01
410,-22.74,-22.93,7.31
420,-29.19,-24.1,18.34
430,-36.85,-22.46,31.82
440,-39.12,-19.16,42.45
450,-34.32,-15.78,46.11
460,-28.68,-12.11,43.05
470,-23.31,-9.17,36.19
480,-19.41,-7.52,28.55
490,-17.68,-7.03,23.59
500,-16.67,-6.7,21.63
510,-14.51,-7.29,21.53
520,-10.2,-8.88,22.52
530,-4.3,-10.46,25.69
540,3.98,-11.76,29.98
550,13.46,-11.78,34.2
560,20.98,-9.68,37.21
570,24.94,-9.54,36.8
580,27.77,-9.84,34.11
590,29.58,-9.85,31.45
600,30.11,-9.64,28.87
610,29.02,-9.69,25.89
620,26.83,-10.16,22.46
630,23.51,-11.26,18.89
640,19.63,-12.53,15.24
650,15.38,-14.12,11.6
660,11.81,-15.7,7.76
670,9.69,-16.56,4.02
680,8.47,-16.68,0.88
690,8.35,-17.14,-1.85
700,8.54,-18.34,-3.87
710,7.14,-19.75,-6.56
720,4.01,-21.05,-9.36
730,-0.63,-22.02,-12.47
740,-7.12,-22.97,-16.92
750,-15.4,-21.84,-21.22
760,-22.93,-20.26,-22.29
770,-25.33,-20.53,-18.86
780,-24.0,-23.88,-13.09
790,-23.08,-28.71,-5.68
800,-25.36,-34.94,3.16
810,-33.2,-40.06,13.76
820,-47.59,-40.17,31.13
830,-56.05,-34.66,52.33
840,-46.62,-26.44,63.71
850,-34.84,-19.93,59.06
860,-26.26,-16.36,45.42
870,-17.82,-14.97,33.98
880,-8.52,-16.3,29.76
890,1.14,-17.26,30.86
900,11.43,-16.82,35.47
910,20.82,-14.4,41.24
920,28.85,-10.39,45.66
930,34.07,-6.86,46.16
940,36.28,-5.12,42.62
950,35.57,-4.57,37.45
960,32.43,-4.73,31.62
970,28.07,-5.1,26.11
980,22.97,-5.6,21.65
990,18.17,-5.97,18.25
1000,13.8,-5.92,15.29
