timestamp,x,y,z
0,-7.71,-0.13,-0.46
10,-6.93,-0.15,-0.34
20,-6.39,-0.13,-0.12
30,-5.95,-0.04,0.26
40,-5.61,0.03,0.51
50,-5.21,0.19,0.43
60,-4.6,0.35,0.16
70,-4.03,0.5,-0.25
80,-3.35,0.71,-0.69
90,-2.5,0.74,-0.76
100,-1.81,0.8,-0.89
110,-1.07,0.75,-0.72
120,0.04,0.66,0.32
130,1.58,0.71,2.05
140,3.52,0.87,3.88
150,5.48,1.19,5.55
160,6.67,1.55,6.16
170,7.08,1.91,5.95
180,6.68,2.0,4.92
190,5.65,1.86,3.65
200,4.53,1.51,3.11
210,4.01,1.14,4.02
220,4.64,0.83,6.7
230,6.27,0.84,9.57
240,8.58,0.94,12.33
250,10.07,0.89,14.37
260,9.64,0.52,14.29
270,7.63,0.09,13.43
280,5.84,-0.71,12.58
290,4.71,-1.81,13.11
300,3.07,-2.83,15.22
310,0.61,-3.51,17.72
320,-1.54,-3.62,19.93
330,-3.45,-3.41,21.73
340,-5.05,-3.22,23.18
350,-6.1,-3.31,23.54
360,-6.06,-3.64,22.66
370,-6.03,-4.3,21.21
380,-7.06,-5.21,20.12
390,-9.15,-6.03,19.19
400,-11.37,-6.64,19.06
410,-13.4,-6.89,19.33
420,-14.96,-6.79,19.33
430,-16.0,-6.97,18.76
440,-16.39,-7.34,17.48
450,-16.15,-8.09,16.22
460,-16.21,-8.79,14.87
470,-16.9,-9.31,13.93
480,-17.84,-9.59,13.1
490,-18.87,-9.46,12.16
500,-19.63,-9.19,11.26
510,-19.66,-8.88,9.67
520,-19.11,-8.59,8.07
530,-18.45,-8.2,6.26
540,-17.59,-7.64,4.62
550,-16.49,-7.04,3.47
560,-15.51,-6.32,2.33
570,-14.44,-5.58,1.57
580,-13.58,-4.95,0.92
590,-12.92,-4.39,0.02
600,-12.21,-3.85,-0.65
610,-11.76,-3.37,-1.03
620,-11.28,-2.92,-1.37
630,-10.62,-2.42,-1.68
640,-10.13,-2.02,-1.77
650,-9.59,-1.4,-2.16
660,-8.93,-0.98,-2.62
670,-8.3,-0.68,-2.73
680,-7.53,-0.6,-2.61
690,-6.61,-0.62,-2.2
700,-5.48,-0.6,-1.85
710,-3.87,-0.59,-1.8
720,-2.38,-0.5,-2.19
730,-0.28,-0.41,-1.78
740,2.43,0.1,-0.57
750,5.06,0.84,1.19
760,7.47,1.59,3.35
770,8.74,2.37,5.15
780,8.42,2.82,6.1
790,6.74,2.89,6.34
800,5.27,2.73,5.68
810,4.09,2.49,4.74
820,3.42,2.17,3.49
830,2.68,1.9,2.28
840,2.55,1.78,2.37
850,3.3,1.69,3.58
860,4.01,1.73,5.02
870,4.7,1.56,6.79
880,5.13,1.35,7.48
890,5.39,0.96,6.8
900,4.75,0.06,5.77
910,2.99,-0.75,4.82
920,1.41,-1.63,7.2
930,0.03,-2.33,11.17
940,-1.23,-2.97,14.68
950,-2.56,-3.39,17.51
960,-2.63,-3.36,19.67
970,-2.48,-3.15,19.52
980,-2.17,-2.78,19.73
990,-1.19,-2.72,21.67
1000,-0.04,-2.58,23.11
