timestamp,x,y,z
0,-2.0,-8.91,3.2
10,-4.93,-10.54,2.99
20,-8.49,-12.06,4.19
30,-12.24,-12.3,6.68
40,-15.51,-12.73,10.69
50,-19.18,-12.38,14.98
60,-24.07,-11.83,17.61
70,-29.24,-11.07,17.55
80,-33.64,-10.51,16.23
90,-35.59,-9.97,14.12
100,-37.65,-8.61,10.87
110,-38.13,-7.88,5.41
120,-35.1,-8.97,2.68
130,-31.07,-10.6,3.2
140,-26.76,-11.39,2.95
150,-22.93,-10.63,0.7
160,-20.44,-8.53,-1.68
170,-19.68,-6.91,-2.22
180,-19.59,-5.8,-1.62
190,-20.33,-4.91,-1.05
200,-21.25,-3.83,-2.0
210,-21.87,-5.05,-3.34
220,-18.97,-4.18,-4.09
230,-13.93,-2.45,-4.36
240,-12.12,-2.66,-5.59
250,-9.51,-3.09,-6.71
260,-7.13,-3.17,-6.75
270,-4.95,-3.05,-5.83
280,-3.01,-2.85,-5.36
290,-1.24,-2.89,-5.38
300,0.68,-2.66,-5.32
310,2.72,-2.31,-4.92
320,4.9,-1.77,-4.12
330,6.39,-1.19,-3.24
340,7.04,-0.62,-2.09
350,6.73,-0.08,-0.39
360,6.11,0.4,1.1
370,5.3,0.15,2.01
380,4.61,-0.09,3.29
390,4.26,-0.37,4.06
400,4.13,-0.57,4.27
410,3.9,-1.19,4.15
420,3.78,-2.41,3.51
430,3.17,-3.56,2.16
440,2.63,-5.36,0.78
450,1.54,-7.41,0.1
460,-0.23,-9.98,0.49
470,-3.11,-13.16,1.17
480,-7.64,-15.24,1.54
490,-12.73,-15.67,2.89
500,-17.75,-15.17,5.92
510,-22.29,-14.66,9.86
520,-26.04,-13.22,14.14
530,-29.97,-10.97,17.32
540,-37.75,-7.15,16.87
550,-41.76,-3.55,12.79
560,-41.74,-2.09,10.29
570,-38.64,-3.48,11.45
580,-35.32,-5.74,12.59
590,-31.97,-7.98,9.46
600,-26.69,-10.21,5.23
610,-21.46,-11.52,3.53
620,-16.29,-12.4,4.64
630,-11.49,-12.14,6.93
640,-8.85,-10.06,6.64
650,-10.9,-8.12,3.15
660,-15.28,-6.24,-0.19
670,-18.26,-5.15,-0.75
680,-21.17,-3.59,-0.02
690,-22.9,-3.11,-0.67
700,-22.82,-4.64,-2.51
710,-19.27,-3.97,-4.59
720,-13.49,-2.37,-6.7
730,-11.19,-1.88,-8.56
740,-8.3,-1.91,-9.87
750,-5.8,-2.06,-9.91
760,-4.13,-2.12,-8.49
770,-2.8,-2.06,-7.1
780,-1.64,-2.05,-6.01
790,-0.57,-1.94,-4.51
800,0.55,-1.93,-3.03
810,1.79,-1.58,-1.51
820,2.86,-1.26,-0.22
830,3.82,-0.98,1.09
840,4.43,-0.51,2.36
850,4.66,-0.05,3.77
860,4.93,0.27,5.26
870,4.78,0.34,6.39
880,3.99,0.4,6.9
890,3.05,0.41,7.2
900,2.54,0.05,7.08
910,2.3,-0.78,6.36
920,2.27,-1.93,4.72
930,2.56,-3.13,2.99
940,2.58,-4.62,2.09
950,1.7,-7.05,1.42
960,-0.5,-9.12,0.69
970,-3.92,-10.93,0.13
980,-8.0,-12.14,0.94
990,-11.79,-12.23,2.66
1000,-15.48,-11.48,4.85
