timestamp,x,y,z
0,-0.4,-11.94,2.83
10,-1.94,-13.02,3.36
20,-4.36,-14.19,3.81
30,-8.3,-14.41,4.92
40,-12.25,-13.41,7.04
50,-16.71,-12.22,10.86
60,-18.98,-10.73,15.49
70,-18.69,-9.52,18.08
80,-18.15,-9.33,17.86
90,-18.26,-9.62,16.23
100,-18.99,-9.94,14.55
110,-19.69,-11.1,13.72
120,-21.0,-11.16,12.66
130,-22.41,-11.83,13.91
140,-24.67,-11.79,17.1
150,-27.01,-10.29,21.49
160,-28.54,-7.9,24.4
170,-29.0,-5.5,25.38
180,-29.11,-3.59,25.35
190,-29.08,-1.81,25.01
200,-28.78,-0.3,24.31
210,-28.16,0.59,23.59
220,-26.99,1.13,22.36
230,-25.56,1.27,21.32
240,-23.71,1.1,20.71
250,-20.97,0.15,20.33
260,-18.24,-0.85,20.49
270,-16.63,-1.51,20.97
280,-16.17,-1.74,21.63
290,-16.46,-1.85,22.23
300,-17.27,-2.14,22.89
310,-18.06,-2.59,22.97
320,-18.87,-3.36,22.23
330,-19.83,-4.23,20.96
340,-20.52,-5.19,19.42
350,-21.23,-6.23,17.86
360,-21.95,-6.99,16.37
370,-22.25,-7.52,15.46
380,-22.1,-7.68,15.27
390,-21.59,-7.89,15.11
400,-20.77,-8.12,14.43
410,-19.94,-8.39,13.65
420,-18.94,-8.72,12.95
430,-17.55,-9.14,12.11
440,-15.68,-9.73,10.7
450,-13.62,-10.27,8.94
460,-11.57,-10.75,7.2
470,-9.27,-10.98,5.65
480,-7.12,-10.99,4.53
490,-5.35,-10.86,3.56
500,-3.9,-10.63,2.51
510,-2.78,-10.34,1.44
520,-1.87,-9.97,0.28
530,-1.17,-9.55,-0.61
540,-0.48,-9.19,-1.27
550,0.2,-8.81,-1.83
560,0.82,-8.56,-2.32
570,1.48,-8.35,-2.74
580,2.11,-8.09,-3.22
590,2.78,-7.85,-3.77
600,3.29,-7.63,-4.46
610,3.78,-7.49,-5.31
620,4.44,-7.47,-6.15
630,5.51,-7.51,-7.12
640,6.56,-7.44,-8.23
650,7.51,-7.41,-9.22
660,8.37,-7.41,-9.96
670,9.21,-7.43,-10.43
680,10.07,-7.55,-10.68
690,11.09,-7.69,-10.77
700,11.77,-7.75,-10.53
710,12.1,-7.74,-10.06
720,12.13,-7.81,-9.42
730,11.79,-7.85,-8.76
740,11.13,-7.96,-8.07
750,10.3,-8.04,-7.33
760,9.43,-8.19,-6.58
770,8.61,-8.34,-5.81
780,7.71,-8.51,-4.93
790,6.83,-8.96,-3.87
800,6.0,-9.58,-2.68
810,4.86,-10.41,-1.3
820,3.49,-11.51,0.17
830,2.13,-12.65,1.56
840,0.82,-13.74,2.57
850,-0.4,-14.56,3.18
860,-2.0,-15.53,3.33
870,-4.17,-17.13,3.35
880,-7.37,-18.74,3.8
890,-11.83,-19.29,5.17
900,-17.18,-17.26,9.05
910,-20.6,-14.81,14.07
920,-22.66,-15.35,18.19
930,-24.67,-15.6,19.02
940,-26.2,-14.23,18.11
950,-26.4,-13.18,17.47
960,-25.57,-12.95,17.34
970,-24.6,-12.19,16.48
980,-23.65,-12.63,17.25
990,-23.32,-13.54,17.99
1000,-24.09,-14.29,18.25
