timestamp,x,y,z
0,0.72,-5.88,-6.87
10,2.46,-3.96,-8.07
20,3.81,-2.49,-8.22
30,4.74,-1.54,-8.29
40,5.36,-0.44,-8.45
50,5.84,0.59,-8.57
60,6.79,0.79,-8.14
70,6.78,1.82,-8.48
80,6.87,2.29,-8.24
90,6.93,2.54,-7.89
100,6.8,2.84,-7.55
110,6.68,3.08,-7.2
120,6.73,3.29,-6.89
130,6.77,3.45,-6.66
140,6.9,3.61,-6.57
150,6.95,3.76,-6.57
160,6.95,3.86,-6.53
170,6.88,3.92,-6.61
180,6.87,3.93,-6.64
190,6.96,3.92,-6.62
200,6.95,3.8,-6.74
210,6.98,3.66,-7.01
220,7.06,3.42,-6.98
230,7.33,3.0,-6.8
240,8.01,2.52,-6.9
250,8.97,1.4,-6.9
260,10.51,0.45,-6.99
270,11.59,-0.83,-6.7
280,11.45,-2.47,-6.18
290,10.47,-4.9,-4.77
300,8.65,-7.8,-3.22
310,6.22,-11.69,-1.37
320,3.12,-15.83,1.96
330,-0.88,-20.23,3.9
340,-4.65,-22.91,6.26
350,-7.84,-22.51,8.9
360,-11.06,-22.75,11.25
370,-15.82,-25.85,14.75
380,-19.2,-22.29,20.88
390,-25.9,-17.91,35.52
400,-23.62,-13.28,36.02
410,-21.35,-11.62,37.82
420,-18.88,-10.38,32.87
430,-17.23,-9.97,25.48
440,-15.85,-8.94,19.34
450,-14.59,-7.69,17.98
460,-13.96,-6.36,19.52
470,-14.2,-5.1,23.22
480,-14.7,-4.38,26.77
490,-14.41,-3.77,29.17
500,-13.66,-3.68,30.6
510,-13.53,-4.43,30.29
520,-13.76,-6.15,28.86
530,-13.42,-8.58,26.2
540,-12.93,-10.35,22.93
550,-13.31,-10.93,19.31
560,-13.86,-11.03,16.62
570,-14.4,-11.18,14.63
580,-14.85,-10.94,12.79
590,-14.39,-10.94,11.04
600,-12.5,-10.68,8.51
610,-9.82,-10.26,5.73
620,-8.08,-9.36,3.73
630,-7.13,-8.07,2.45
640,-7.42,-6.38,1.25
650,-7.52,-5.46,-0.7
660,-6.63,-4.43,-2.89
670,-5.22,-3.5,-5.19
680,-3.87,-2.32,-7.02
690,-2.76,-1.4,-7.81
700,-1.97,-0.71,-7.66
710,-0.96,-0.24,-7.71
720,0.21,0.43,-8.36
730,1.24,1.09,-9.01
740,2.23,1.6,-9.04
750,2.9,2.15,-8.73
760,3.38,2.54,-7.86
770,3.77,2.85,-6.92
780,4.16,3.08,-6.17
790,4.65,3.31,-5.66
800,5.28,3.55,-5.27
810,5.95,3.78,-5.19
820,6.57,4.06,-5.33
830,7.02,4.24,-5.49
840,7.51,4.36,-5.89
850,8.02,4.41,-6.11
860,8.46,4.39,-6.16
870,8.89,4.29,-6.13
880,9.17,4.15,-6.09
890,9.51,3.9,-6.19
900,9.88,3.66,-6.62
910,10.25,3.36,-7.28
920,10.5,3.14,-8.05
930,10.61,2.79,-8.65
940,10.92,2.16,-8.81
950,11.41,0.98,-8.58
960,11.73,-0.63,-8.45
970,11.35,-2.27,-7.75
980,10.09,-4.81,-6.26
990,8.92,-6.68,-5.38
1000,7.3,-9.13,-3.65
