timestamp,x,y,z
0,-3.41,-14.62,12.0
10,-4.34,-13.47,9.15
20,-5.7,-11.29,6.16
30,-6.54,-8.67,3.85
40,-6.68,-6.06,2.62
50,-5.76,-4.18,2.23
60,-3.93,-2.72,1.82
70,-1.83,-1.81,1.65
80,-0.65,-1.31,1.01
90,-1.22,-0.43,-0.36
100,-2.65,0.77,-1.75
110,-4.53,2.04,-3.18
120,-5.28,3.16,-3.56
130,-5.26,3.85,-3.56
140,-4.9,4.38,-4.25
150,-4.61,4.8,-5.14
160,-4.27,5.14,-5.42
170,-3.83,5.25,-5.17
180,-3.38,5.31,-5.26
190,-3.0,5.28,-6.0
200,-2.73,5.28,-6.86
210,-2.75,5.36,-7.55
220,-2.79,5.36,-7.79
230,-2.51,5.29,-7.86
240,-2.04,5.25,-7.97
250,-1.63,5.2,-8.08
260,-1.29,5.21,-8.19
270,-1.09,5.28,-8.3
280,-0.8,5.37,-8.4
290,-0.32,5.32,-8.48
300,0.29,5.11,-8.52
310,0.89,4.89,-8.52
320,1.58,4.61,-8.32
330,2.44,4.27,-7.9
340,3.33,3.84,-7.6
350,4.15,3.43,-7.54
360,4.88,3.06,-7.66
370,5.53,2.63,-7.71
380,6.24,2.09,-7.79
390,7.08,1.43,-7.77
400,8.41,0.85,-7.61
410,9.91,0.33,-7.21
420,11.46,-0.15,-6.45
430,12.56,-0.66,-5.58
440,13.09,-0.94,-4.88
450,13.02,-1.26,-4.14
460,12.41,-1.7,-3.24
470,11.22,-2.23,-2.29
480,9.44,-3.09,-1.51
490,7.36,-3.94,-1.2
500,4.84,-5.24,-1.12
510,2.18,-6.4,-0.51
520,-0.17,-7.33,1.01
530,-1.85,-8.36,2.78
540,-2.81,-9.64,4.37
550,-3.41,-11.08,5.92
560,-4.1,-12.22,7.17
570,-5.24,-13.76,7.84
580,-6.45,-14.97,7.74
590,-7.04,-15.07,7.91
600,-8.09,-15.74,8.72
610,-8.92,-16.54,10.25
620,-9.91,-16.91,12.2
630,-10.49,-15.22,14.65
640,-10.16,-13.95,17.25
650,-8.18,-13.66,20.4
660,-5.84,-13.6,23.93
670,-4.1,-13.15,25.86
680,-3.37,-12.84,25.1
690,-3.61,-12.76,22.69
700,-4.15,-12.88,19.98
710,-4.51,-13.12,17.64
720,-4.77,-13.29,15.94
730,-5.02,-13.24,15.05
740,-5.45,-13.1,14.45
750,-6.07,-12.55,14.12
760,-6.79,-11.87,14.23
770,-7.31,-11.04,14.8
780,-7.66,-10.54,15.73
790,-7.7,-10.24,16.69
800,-7.38,-10.04,17.5
810,-7.08,-9.96,17.98
820,-6.65,-10.0,17.83
830,-6.12,-10.03,17.28
840,-5.39,-10.05,16.9
850,-4.51,-9.99,16.77
860,-3.59,-9.84,16.98
870,-2.59,-9.66,18.01
880,-1.83,-9.86,19.17
890,-1.46,-10.37,19.97
900,-1.38,-11.36,20.11
910,-1.45,-12.67,19.62
920,-1.71,-13.91,18.09
930,-2.27,-14.81,15.15
940,-3.11,-15.09,11.24
950,-3.7,-14.14,7.0
960,-3.74,-12.39,3.15
970,-3.96,-9.91,0.08
980,-4.46,-6.86,-2.33
990,-5.05,-3.4,-4.55
1000,-4.92,-0.98,-5.63
