timestamp,x,y,z
0,-1.46,-19.42,65.98
10,-0.19,-18.54,59.03
20,2.0,-21.25,46.78
30,5.5,-24.23,33.21
40,7.25,-27.12,24.01
50,9.05,-27.15,19.46
60,9.11,-25.89,17.34
70,8.12,-24.29,18.27
80,5.7,-21.49,21.13
90,3.68,-19.2,24.21
100,1.56,-17.61,28.17
110,0.29,-18.76,30.51
120,-0.09,-23.28,28.55
130,0.15,-28.19,22.24
140,-1.17,-30.6,14.53
150,-5.83,-28.07,7.02
160,-12.98,-21.26,1.68
170,-18.59,-13.54,-0.1
180,-20.11,-8.11,0.61
190,-17.4,-6.36,1.15
200,-12.28,-6.32,-0.79
210,-8.31,-5.4,-4.59
220,-7.13,-3.47,-7.75
230,-7.08,-1.51,-9.22
240,-6.37,-0.56,-10.01
250,-4.97,0.17,-10.24
260,-3.53,0.96,-10.28
270,-2.35,1.95,-8.94
280,-1.34,2.49,-6.96
290,-0.52,3.04,-5.03
300,0.15,3.46,-4.01
310,0.9,4.1,-3.81
320,1.49,4.74,-4.14
330,1.94,5.44,-4.73
340,2.38,6.17,-5.07
350,2.92,6.97,-5.31
360,3.22,7.77,-5.31
370,3.68,8.61,-5.25
380,3.95,9.23,-5.35
390,4.08,9.77,-5.39
400,4.32,10.33,-5.79
410,4.39,10.78,-5.92
420,4.6,11.06,-5.5
430,4.7,10.96,-4.21
440,4.61,10.73,-3.44
450,4.03,10.22,-3.21
460,3.27,9.45,-2.68
470,2.46,8.65,-2.35
480,1.61,7.81,-2.44
490,1.08,6.83,-2.47
500,0.8,5.86,-2.76
510,0.51,4.73,-3.24
520,0.42,3.49,-3.87
530,0.01,2.13,-4.93
540,-0.77,0.76,-6.57
550,-1.69,-0.36,-8.74
560,-2.28,-1.5,-10.6
570,-2.38,-2.87,-11.82
580,-1.99,-4.49,-12.26
590,-1.33,-6.38,-11.96
600,-0.62,-8.39,-11.39
610,-0.2,-10.0,-10.13
620,-0.42,-11.38,-8.72
630,-1.06,-12.4,-7.22
640,-1.7,-13.24,-5.75
650,-2.32,-13.79,-4.46
660,-2.73,-14.4,-3.23
670,-2.84,-15.2,-2.01
680,-2.77,-16.22,-0.74
690,-2.57,-17.55,0.64
700,-2.36,-18.94,2.25
710,-2.38,-20.18,4.04
720,-2.36,-21.17,6.39
730,-1.75,-21.52,9.06
740,-1.04,-21.51,12.06
750,-0.06,-21.52,15.31
760,1.95,-21.1,19.46
770,5.44,-20.21,24.06
780,9.47,-19.33,29.09
790,12.7,-18.14,32.2
800,14.27,-16.41,35.27
810,16.35,-14.52,38.93
820,18.93,-12.9,41.71
830,21.15,-11.16,43.07
840,21.91,-9.46,42.46
850,21.1,-7.99,40.83
860,19.7,-6.49,40.26
870,18.62,-5.59,41.27
880,17.2,-4.5,42.83
890,16.16,-3.31,45.27
900,14.9,-2.19,47.79
910,13.58,-1.72,49.37
920,11.77,-2.05,49.43
930,8.79,-2.98,48.07
940,5.0,-3.88,45.51
950,1.24,-4.96,42.4
960,-2.42,-5.75,39.29
970,-5.36,-6.57,36.16
980,-7.49,-7.61,33.62
990,-8.98,-10.03,31.5
1000,-10.72,-12.56,26.77
