timestamp,x,y,z
0,4.31,8.14,2.96
10,4.06,8.25,2.82
20,4.17,8.33,2.6
30,4.04,8.51,2.32
40,4.0,8.68,1.93
50,3.77,8.81,1.53
60,3.28,8.86,1.19
70,2.84,9.05,0.87
80,2.38,9.05,0.49
90,2.35,8.89,0.17
100,2.55,8.54,-0.03
110,2.41,8.01,-0.12
120,2.26,8.03,-0.4
130,2.1,8.15,-1.0
140,2.15,8.22,-1.37
150,2.48,8.13,-1.58
160,2.77,8.02,-1.7
170,3.06,7.91,-1.78
180,3.24,7.86,-1.76
190,3.17,7.57,-1.56
200,4.11,7.56,-0.89
210,4.29,7.34,-0.3
220,4.52,7.11,0.22
230,4.87,7.13,0.86
240,4.59,6.95,1.24
250,4.19,6.92,1.67
260,3.34,6.77,1.96
270,2.41,6.57,2.03
280,2.07,5.98,1.98
290,1.84,5.2,1.77
300,1.41,4.75,1.55
310,0.53,4.16,1.0
320,-1.62,3.49,-0.16
330,-4.22,2.88,-1.93
340,-6.3,1.72,-4.8
350,-6.85,-0.92,-6.25
360,-5.89,-4.64,-6.26
370,-3.33,-10.26,-6.1
380,0.06,-16.5,-6.16
390,5.11,-20.13,-5.33
400,10.39,-22.21,-2.98
410,12.99,-21.81,0.36
420,12.6,-20.7,5.04
430,14.42,-19.34,9.0
440,16.68,-17.73,13.13
450,18.24,-16.74,16.08
460,21.92,-15.42,19.04
470,25.19,-13.69,19.19
480,26.34,-12.22,16.93
490,26.85,-11.32,13.14
500,26.89,-10.73,9.3
510,24.16,-10.14,6.89
520,19.38,-9.99,5.66
530,14.86,-9.98,3.87
540,10.61,-9.64,1.73
550,7.02,-9.16,0.8
560,4.89,-8.6,1.62
570,4.57,-8.07,3.63
580,5.37,-7.65,5.99
590,6.77,-7.23,6.92
600,8.33,-6.99,7.28
610,9.58,-7.0,7.46
620,10.78,-7.15,7.17
630,11.77,-7.32,6.41
640,12.64,-7.28,5.55
650,13.45,-6.81,5.45
660,14.91,-7.16,5.98
670,16.05,-7.18,6.79
680,16.72,-7.48,7.76
690,16.97,-7.8,8.61
700,16.99,-8.31,8.92
710,16.21,-9.01,8.3
720,14.54,-9.4,7.15
730,12.45,-9.48,6.14
740,9.9,-8.96,5.51
750,7.76,-7.76,5.55
760,5.92,-6.46,5.74
770,4.62,-5.26,5.96
780,3.84,-4.47,5.4
790,2.89,-3.85,4.98
800,1.99,-2.33,4.7
810,0.77,-1.01,4.7
820,0.4,0.11,4.96
830,0.46,1.21,4.83
840,0.87,2.06,4.52
850,1.63,3.17,3.96
860,2.32,3.9,3.84
870,2.46,4.44,4.03
880,2.44,4.97,4.23
890,2.25,5.28,3.9
900,1.97,5.75,3.59
910,1.8,6.33,3.4
920,1.62,6.77,3.18
930,1.66,6.72,2.92
940,1.88,6.86,2.83
950,2.27,7.13,2.82
960,2.33,7.38,2.69
970,2.59,7.61,2.68
980,3.13,7.79,2.72
990,3.5,7.88,2.59
1000,3.68,7.87,2.27
