timestamp,x,y,z
0,-3.45,1.78,5.92
10,-0.24,1.35,6.49
20,3.76,0.4,7.93
30,9.31,-0.01,10.57
40,14.59,0.26,14.2
50,18.32,1.31,18.32
60,20.99,2.44,21.52
70,22.8,3.46,22.56
80,23.43,3.82,21.81
90,22.28,4.02,20.05
100,20.07,4.01,17.72
110,17.58,3.65,15.53
120,15.05,3.34,13.8
130,12.88,3.04,12.3
140,10.88,2.73,10.95
150,9.0,2.53,9.87
160,7.24,2.41,8.96
170,5.3,2.25,8.07
180,2.69,2.12,7.42
190,-0.58,1.71,7.12
200,-4.13,1.61,7.62
210,-7.61,2.0,9.0
220,-10.24,2.78,10.94
230,-12.03,3.45,12.96
240,-13.54,3.84,14.18
250,-15.24,4.29,14.73
260,-16.86,4.84,14.8
270,-18.09,5.32,13.96
280,-18.91,5.68,12.4
290,-19.32,6.41,10.29
300,-19.31,6.87,8.32
310,-19.3,7.43,6.88
320,-19.01,7.82,5.87
330,-18.4,7.7,5.15
340,-17.04,7.41,4.59
350,-15.39,7.02,4.04
360,-13.91,6.57,3.68
370,-12.73,6.11,3.64
380,-11.75,5.54,3.66
390,-10.62,4.84,3.56
400,-8.95,4.02,3.32
410,-7.35,3.16,3.16
420,-6.12,2.41,3.42
430,-5.53,1.79,4.14
440,-5.27,1.31,5.09
450,-4.68,0.91,6.17
460,-3.68,0.67,6.77
470,-2.45,0.37,7.08
480,-0.77,0.01,7.09
490,1.38,-0.66,7.51
500,4.32,-0.77,8.85
510,7.15,-0.31,10.84
520,9.41,0.33,12.75
530,11.23,0.63,13.86
540,13.04,0.22,14.17
550,14.89,-0.11,15.11
560,16.51,-0.04,16.92
570,18.0,0.19,19.12
580,19.1,0.8,20.83
590,19.38,1.3,21.71
600,18.72,1.34,21.5
610,17.4,1.36,20.54
620,15.76,1.39,19.19
630,13.96,1.43,17.78
640,11.98,1.35,16.41
650,10.03,1.29,15.14
660,8.21,1.41,14.15
670,6.39,1.87,13.44
680,4.49,2.26,12.77
690,2.5,2.62,12.32
700,0.27,2.5,11.94
710,-1.98,2.08,11.57
720,-4.17,1.76,11.13
730,-6.03,1.85,10.4
740,-7.72,2.08,9.57
750,-9.31,2.11,9.22
760,-10.89,2.2,9.24
770,-12.97,2.22,9.41
780,-16.07,2.2,9.32
790,-19.79,2.22,8.41
800,-23.03,2.4,6.62
810,-25.19,2.79,4.32
820,-25.85,3.15,2.04
830,-24.72,3.63,0.19
840,-22.21,3.66,-0.87
850,-19.38,3.42,-0.89
860,-16.61,3.05,-0.29
870,-14.29,2.77,0.67
880,-12.46,2.35,1.71
890,-10.93,1.98,2.84
900,-9.28,1.67,3.98
910,-7.14,1.23,5.02
920,-4.32,0.8,6.31
930,-0.88,0.71,7.37
940,3.07,0.0,9.31
950,8.72,-0.08,12.49
960,14.68,0.45,16.46
970,19.56,1.6,19.95
980,23.04,2.77,22.81
990,25.37,3.8,24.05
1000,25.75,4.52,23.25
