timestamp,x,y,z
0,15.9,-9.58,8.97
10,19.47,-10.33,6.76
20,21.83,-9.67,1.77
30,24.1,-6.97,-4.23
40,27.81,-4.63,-6.28
50,32.78,-4.18,-3.56
60,37.17,-4.24,-2.3
70,38.99,-4.49,-3.62
80,38.71,-6.2,-3.21
90,34.59,-8.66,-0.84
100,29.89,-10.36,1.32
110,24.66,-12.2,2.85
120,18.96,-14.49,3.32
130,12.31,-17.11,1.47
140,5.79,-20.64,-0.63
150,-2.56,-24.15,-0.16
160,-13.47,-26.59,4.31
170,-23.26,-25.9,12.1
180,-35.98,-19.7,23.53
190,-50.19,-12.33,31.2
200,-58.28,-8.16,24.34
210,-56.66,-6.16,13.83
220,-45.49,-4.78,10.09
230,-33.52,-3.58,8.65
240,-24.21,-2.81,6.11
250,-18.14,-2.01,4.38
260,-14.9,-1.04,3.8
270,-13.64,-0.61,4.13
280,-13.07,-1.14,4.5
290,-12.23,-2.8,4.82
300,-9.96,-6.37,5.3
310,-4.65,-10.8,5.56
320,5.51,-13.58,5.45
330,19.48,-13.48,5.79
340,34.88,-11.97,5.54
350,45.94,-8.08,4.89
360,49.03,-4.72,4.93
370,44.59,-3.76,7.25
380,38.41,-4.98,9.89
390,31.35,-6.77,12.32
400,22.36,-8.48,13.84
410,14.24,-8.34,14.17
420,10.49,-8.38,13.85
430,8.52,-9.5,13.26
440,5.57,-11.32,12.55
450,1.11,-13.43,12.44
460,-4.28,-15.18,13.2
470,-9.51,-16.41,15.63
480,-15.84,-16.0,18.69
490,-21.66,-14.27,20.97
500,-27.66,-12.15,21.89
510,-32.73,-9.5,19.57
520,-35.29,-6.74,16.34
530,-34.43,-4.5,13.76
540,-31.54,-3.06,12.02
550,-27.51,-2.48,10.54
560,-23.53,-2.43,9.38
570,-20.01,-2.64,8.77
580,-16.9,-3.02,8.69
590,-14.26,-3.37,8.89
600,-12.27,-3.56,9.14
610,-10.64,-3.56,9.43
620,-9.19,-3.46,9.84
630,-7.53,-3.41,10.54
640,-5.76,-3.31,11.16
650,-3.7,-3.41,11.46
660,-1.94,-3.64,11.42
670,-0.28,-3.61,11.15
680,1.39,-3.62,10.92
690,3.41,-3.68,11.02
700,5.57,-3.37,11.34
710,7.54,-2.81,11.11
720,9.09,-2.23,10.79
730,10.56,-1.8,10.78
740,12.29,-1.32,10.71
750,14.06,-0.82,10.07
760,15.46,-0.28,9.11
770,16.46,0.2,7.81
780,16.92,0.76,6.73
790,17.2,1.3,6.06
800,17.67,1.74,5.78
810,18.88,2.12,5.68
820,20.53,2.34,5.1
830,21.6,2.14,3.92
840,21.83,1.64,2.36
850,21.13,1.19,0.82
860,19.65,0.74,-0.75
870,17.98,0.4,-1.57
880,16.39,-0.11,-1.75
890,14.28,-0.9,-2.5
900,11.25,-1.79,-3.13
910,8.03,-2.91,-3.32
920,4.88,-4.29,-2.87
930,1.26,-5.92,-1.82
940,-2.47,-7.66,0.16
950,-5.9,-9.4,3.77
960,-9.78,-10.54,9.12
970,-15.05,-10.65,15.91
980,-23.08,-10.23,22.57
990,-32.49,-8.72,24.16
1000,-39.49,-6.97,20.42
