timestamp,x,y,z
0,2.98,3.47,8.31
10,2.95,3.41,8.53
20,2.85,3.25,8.77
30,2.86,3.21,9.01
40,2.84,3.08,9.21
50,2.83,2.87,9.28
60,2.95,2.62,9.35
70,3.48,2.3,9.32
80,4.22,1.99,9.11
90,4.91,1.74,8.79
100,5.16,1.59,8.61
110,4.89,1.46,8.66
120,4.61,1.36,9.08
130,4.78,1.28,10.02
140,5.13,1.26,11.1
150,5.42,1.29,11.76
160,5.44,1.16,11.98
170,5.63,1.0,11.98
180,5.89,0.95,11.93
190,6.25,0.92,11.95
200,6.23,0.92,11.91
210,5.75,0.81,11.83
220,5.07,0.62,11.8
230,4.3,0.43,11.9
240,3.38,0.26,11.96
250,2.28,0.15,11.88
260,1.19,0.17,11.66
270,0.54,0.02,11.4
280,0.07,0.06,11.3
290,-0.55,0.28,10.99
300,-1.22,0.38,10.62
310,-1.43,0.5,10.56
320,-1.35,0.72,10.76
330,-1.46,0.9,10.71
340,-1.7,0.95,10.43
350,-1.89,0.96,10.17
360,-2.2,1.09,9.96
370,-2.59,1.12,9.95
380,-2.69,1.21,9.96
390,-2.73,1.27,10.01
400,-2.7,1.34,10.17
410,-2.88,1.43,10.28
420,-2.87,1.53,10.46
430,-2.89,1.62,10.84
440,-3.0,1.7,11.07
450,-3.08,1.71,11.1
460,-2.94,1.65,11.18
470,-2.7,1.69,11.07
480,-2.49,1.62,10.82
490,-2.14,1.46,10.49
500,-1.85,1.48,10.29
510,-1.7,1.48,10.37
520,-1.72,1.48,10.62
530,-1.81,1.49,10.97
540,-1.86,1.46,11.25
550,-1.84,1.43,11.36
560,-1.88,1.57,11.39
570,-2.01,1.57,11.48
580,-2.11,1.56,11.56
590,-2.26,1.5,11.5
600,-2.21,1.44,11.26
610,-2.1,1.45,11.05
620,-2.05,1.45,10.92
630,-2.08,1.42,10.68
640,-1.97,1.24,10.37
650,-1.5,1.12,10.07
660,-0.9,1.07,9.73
670,-0.49,1.08,9.16
680,-0.13,1.08,8.56
690,0.35,0.98,8.1
700,0.9,0.92,7.9
710,1.24,0.94,7.94
720,1.59,0.88,8.22
730,2.02,0.71,8.52
740,2.5,0.59,9.04
750,3.01,0.56,9.65
760,3.5,0.59,10.31
770,4.12,0.56,10.75
780,4.94,0.49,11.05
790,5.87,0.5,11.27
800,6.67,0.52,11.33
810,7.24,0.48,11.2
820,7.67,0.6,11.13
830,7.88,0.51,11.04
840,7.72,0.52,10.86
850,7.21,0.48,10.58
860,6.71,0.45,10.44
870,6.47,0.42,10.51
880,6.4,0.41,10.73
890,6.28,0.46,10.82
900,5.96,0.66,10.3
910,5.65,0.78,9.82
920,5.43,0.93,9.54
930,5.42,1.09,9.54
940,5.36,1.23,9.57
950,5.09,1.42,9.47
960,4.85,1.61,9.35
970,4.59,1.76,9.35
980,4.3,1.96,9.39
990,3.96,2.17,9.44
1000,3.7,2.36,9.46
