timestamp,x,y,z
0,23.92,-25.06,-15.1
10,22.12,-25.41,-16.74
20,19.76,-25.26,-17.68
30,17.27,-25.23,-17.7
40,14.76,-26.09,-15.93
50,12.4,-27.6,-12.36
60,9.62,-30.23,-6.92
70,7.22,-32.85,1.08
80,5.58,-34.53,9.57
90,4.17,-35.75,15.29
100,0.44,-36.86,16.23
110,-4.71,-38.58,15.05
120,-9.69,-39.65,13.44
130,-16.08,-40.55,11.16
140,-22.69,-41.38,10.15
150,-31.08,-41.04,11.98
160,-42.82,-35.83,16.13
170,-59.87,-23.33,23.2
180,-75.12,-5.37,23.36
190,-75.47,-3.93,13.81
200,-63.53,-6.37,2.02
210,-52.03,-9.89,-2.41
220,-42.49,-11.15,-1.14
230,-35.96,-11.4,1.63
240,-32.3,-11.5,3.65
250,-29.28,-11.82,4.97
260,-26.23,-12.72,5.92
270,-23.42,-14.2,6.94
280,-21.31,-15.45,7.98
290,-19.56,-16.98,8.95
300,-17.37,-18.82,10.8
310,-15.21,-20.35,13.44
320,-12.83,-21.98,15.72
330,-9.98,-23.75,17.66
340,-7.02,-25.21,19.18
350,-4.03,-26.42,20.72
360,0.14,-28.24,22.57
370,5.82,-30.59,24.28
380,13.16,-33.3,24.59
390,20.66,-35.29,24.31
400,27.42,-35.87,23.64
410,32.83,-34.82,21.03
420,37.48,-33.56,16.14
430,40.77,-33.21,10.52
440,43.33,-33.91,3.96
450,43.4,-34.95,-2.3
460,41.04,-35.31,-6.61
470,36.79,-34.91,-8.47
480,32.35,-34.63,-8.96
490,27.65,-34.85,-9.45
500,23.47,-35.34,-9.63
510,19.06,-36.18,-7.93
520,14.31,-37.46,-5.16
530,9.11,-39.58,-2.6
540,3.95,-41.84,0.53
550,-0.55,-43.98,3.89
560,-5.56,-45.23,6.13
570,-10.13,-45.4,7.23
580,-14.46,-44.95,8.26
590,-18.5,-43.41,9.77
600,-22.06,-40.91,11.73
610,-24.86,-37.55,14.44
620,-26.16,-33.41,18.51
630,-24.0,-29.35,22.58
640,-19.49,-26.61,23.95
650,-14.91,-24.89,22.31
660,-11.58,-23.46,19.5
670,-10.89,-21.34,17.23
680,-13.0,-18.36,16.4
690,-15.82,-15.24,17.5
700,-17.33,-12.41,19.57
710,-17.47,-10.01,21.86
720,-16.18,-7.15,24.4
730,-13.76,-6.03,24.39
740,-12.12,-6.73,20.81
750,-10.45,-8.26,16.09
760,-8.95,-9.69,11.72
770,-7.79,-10.57,8.76
780,-7.08,-10.7,7.81
790,-7.19,-10.41,8.98
800,-7.65,-9.97,12.23
810,-8.0,-9.77,16.65
820,-7.86,-9.92,20.81
830,-7.6,-10.98,23.2
840,-7.03,-12.45,24.08
850,-6.78,-14.02,23.96
860,-7.56,-15.45,23.12
870,-8.56,-16.4,21.95
880,-9.17,-17.11,21.1
890,-8.83,-17.7,20.66
900,-8.0,-18.03,20.54
910,-7.18,-18.26,20.18
920,-6.39,-18.4,19.79
930,-5.75,-18.53,19.58
940,-4.81,-18.41,19.17
950,-4.36,-18.13,18.48
960,-4.41,-17.39,17.9
970,-4.49,-16.84,17.39
980,-4.58,-16.43,16.97
990,-4.67,-16.19,16.81
1000,-4.8,-16.03,16.27
