timestamp,x,y,z
0,6.3,-18.2,13.69
10,9.61,-18.71,14.72
20,12.37,-19.08,15.33
30,15.44,-19.34,15.2
40,19.09,-19.12,14.71
50,23.35,-17.93,14.74
60,27.55,-16.24,13.96
70,31.11,-14.55,11.64
80,32.86,-13.05,7.59
90,32.13,-12.02,4.3
100,29.77,-12.13,2.45
110,25.78,-13.3,2.98
120,21.62,-14.63,4.06
130,17.76,-16.06,4.42
140,14.17,-17.54,4.11
150,11.36,-19.04,3.62
160,8.96,-20.59,3.48
170,6.25,-22.24,3.51
180,2.78,-23.76,3.62
190,0.07,-24.74,4.62
200,-2.08,-25.27,7.39
210,-5.34,-24.76,10.83
220,-8.99,-22.87,13.22
230,-13.68,-19.45,16.55
240,-17.22,-15.78,21.3
250,-18.83,-11.94,26.17
260,-18.61,-8.66,28.34
270,-16.31,-6.56,26.63
280,-12.2,-5.34,22.91
290,-7.52,-4.47,19.88
300,-3.48,-3.94,17.37
310,-0.65,-3.68,15.39
320,1.14,-3.47,13.96
330,2.32,-3.31,13.07
340,2.99,-3.14,12.79
350,3.17,-2.86,12.96
360,2.86,-2.67,13.31
370,2.28,-2.64,13.58
380,1.76,-2.76,13.54
390,1.23,-2.99,13.62
400,0.97,-3.24,13.36
410,0.76,-3.39,12.93
420,0.76,-3.54,12.43
430,0.86,-3.52,12.06
440,1.05,-3.38,11.46
450,1.36,-3.07,10.85
460,1.4,-2.63,10.22
470,1.2,-2.19,9.24
480,0.78,-1.65,8.09
490,0.4,-1.33,7.22
500,0.06,-1.28,6.55
510,-0.16,-1.34,6.02
520,-0.34,-1.6,5.73
530,-0.46,-1.9,5.74
540,-0.49,-2.4,5.9
550,-0.41,-3.04,6.31
560,0.0,-3.6,6.98
570,0.94,-4.05,7.93
580,2.21,-4.39,8.82
590,3.53,-4.89,9.12
600,4.96,-5.84,8.36
610,7.79,-6.42,7.89
620,10.57,-6.22,8.04
630,13.06,-5.56,8.54
640,15.3,-5.17,7.88
650,16.86,-4.92,6.67
660,17.14,-4.72,5.58
670,17.68,-4.96,5.59
680,18.25,-5.22,6.44
690,18.82,-5.54,7.01
700,19.22,-5.57,7.04
710,19.9,-5.63,7.24
720,20.74,-5.44,7.89
730,21.29,-5.1,8.68
740,20.96,-5.14,9.43
750,19.45,-6.01,9.94
760,17.15,-7.27,9.88
770,14.43,-8.57,9.18
780,11.95,-9.5,7.78
790,9.82,-10.2,6.23
800,7.53,-10.66,5.17
810,5.37,-11.16,4.96
820,3.25,-11.9,5.65
830,2.86,-12.27,7.7
840,1.35,-12.73,10.76
850,-1.97,-12.6,12.77
860,-6.25,-10.78,14.73
870,-11.25,-8.05,18.23
880,-15.27,-5.79,21.5
890,-16.92,-4.59,22.84
900,-17.47,-3.72,22.51
910,-17.24,-2.43,20.73
920,-16.43,-0.66,17.59
930,-15.29,0.77,14.54
940,-14.0,1.6,12.19
950,-12.97,1.51,10.88
960,-12.07,0.83,10.76
970,-11.74,-0.15,11.13
980,-11.69,-1.7,12.06
990,-11.55,-3.51,13.14
1000,-10.81,-5.18,14.04
